continent,国家,country,area,smoke,fat,sport,hypertension,hyperglycemia,deaths,gdp,population,deathRate,smoke_m,smoke_f,fat_m,fat_f,sport_m,sport_f,hypertension_m,hypertension_f,hyperglycemia_m,hyperglycemia_f
2,南非,South Africa,"1,213,090",16.2,27,37.2,24,9.8,97559,5337,"55,111,000",0.466526076,0.79,0.21,0.27,0.73,0.35,0.65,0.49,0.51,0.39,0.61
2,南苏丹,South Sudan,"619,745",Not available,No data,No data,No data,No data,12205,204,"128,069,000",0.508902139,Not available,Not available,No data,No data,No data,No data,No data,No data,No data,No data
2,苏丹,Sudan,"1,886,068",Not available,7.4,No data,24,6.6  6.6 ,80311,2298,"41,084,000",0.714078671,Not available,Not available,0.24,0.76,No data,No data,0.52,0.48,No data,No data
2,斯威士兰,Swaziland,"17,200",5.9,13.5,26.5,22,6.6,1648,,"1,113,984",0.466723308,0.88,0.12,0.17,0.83,0.42,0.58,0.48,0.52,0.38,0.62
2,坦桑尼亚,Tanzania,"885,800",11.8,7.1,6,20.9,4.3,51617,856,"55,144,000",0.559442909,0.92,0.08,0.24,0.76,0.44,0.56,0.5,0.5,0.48,0.52
2,多哥,Togo,"54,390",4.8,7.1,8.8,21.9,4.9,10519,610,"7,408,300",0.637090425,0.9,0.1,0.24,0.76,0.45,0.55,0.5,0.5,0.49,0.51
2,突尼斯,Tunisia,"155,360",23.7,27.3,29.5,22.8,12.2,31987,3679,"11,381,000",0.681328278,0.86,0.14,0.36,0.64,0.43,0.57,0.51,0.49,0.48,0.52
2,乌干达,Uganda,"200,520",4.8,4.1,5,19.5,2.8,29643,650,"40,290,000",0.454459043,0.87,0.13,0.18,0.82,0.46,0.54,0.51,0.49,0.47,0.53
2,赞比亚,Zambia,"743,390",Not available,6.5,20.1,19.5,4.2,12483,1232,"16,698,000",0.522476143,0.98,0.02,0.23,0.77,0.42,0.58,0.54,0.46,0.48,0.52
2,津巴布韦,Zimbabwe,"386,850",Not available,12.3,24.9,20.3,4.6,14184,891,"15,935,000",0.478930308,Not available,Not available,0.15,0.85,0.42,0.58,0.49,0.51,0.43,0.57
3,澳大利亚,Australia,"7,692,020",12.8,30.4,31.7,18.9,7.3,44042,51087,"24,644,000",0.414384238,0.56,0.44,0.5,0.5,0.44,0.56,0.55,0.45,0.55,0.45
3,库克群岛,Cook Islands,240,20.3,55.3,20.9,21.4,26.8,,,"17,400",,0.6,0.4,0.47,0.53,0.27,0.73,0.56,0.44,0.51,0.49
3,斐济,Fiji,"18,270",16.6,30,16.8,20.3,16.6,2183,5046,"902,980",0.477471566,0.82,0.18,0.41,0.59,0.3,0.7,0.51,0.49,0.45,0.55
3,基里巴斯,Kiribati,810,54.8,45.6,38.3,20.7,22,184,1567,"105,920",0.471794872,0.65,0.35,0.45,0.55,0.42,0.58,0.56,0.44,0.49,0.51
3,马绍尔群岛,Marshall Islands,180,19.8,52.4,47.3,20.4,20.7,,3311,"56,787",,0.89,0.11,0.46,0.54,0.43,0.57,0.56,0.44,0.49,0.51
3,密克罗尼西亚,Micronesia ,700,35.4,41.6,35.7,20.5,18,208,3183,"102,100",0.544502618,0.61,0.39,0.43,0.57,0.45,0.55,0.53,0.47,0.45,0.55
3,瑙鲁,Nauru,21,48.2,60.7,45.9,19.7,28.9,,,"13,049",,0.47,0.53,0.48,0.52,0.43,0.57,0.58,0.42,0.52,0.48
3,新西兰,New Zealand,"263,310",15.5,32,44.6,20.1,8.5,9477,39150,"4,648,500",0.437797385,0.52,0.48,0.49,0.51,0.47,0.53,0.56,0.44,0.56,0.44
3,纽埃,Niue,261,11.6,49.3,8.3,23.3,26.4,,,"1,311",,0.68,0.32,0.45,0.55,0.57,0.43,0.54,0.46,0.49,0.51
3,帕劳,Palau,460,13.3,54.9,44.8,22,22.8,,14057,"21,057",,0.78,0.22,0.47,0.53,0.37,0.63,0.56,0.44,0.54,0.46
3,巴布亚新几内亚,Papua New Guinea,"452,860",Not available,19.4,13.5,20.3,11.8,13264,2568,"7,753,900",0.518246464,Not available,Not available,0.39,0.61,0.37,0.63,0.5,0.5,0.51,0.49
3,萨摩亚,Samoa,"2,830",Not available,45.5,12.4,22,22.8,322,4528,"193,470",0.536666667,0.73,0.27,0.42,0.58,0.32,0.68,0.55,0.45,0.45,0.55
3,所罗门群岛,Solomon Islands,"27,990",29.7,20.5,17.2,17.1,10.8,804,2030,"600,090",0.515715202,0.74,0.26,0.4,0.6,0.36,0.64,0.48,0.52,0.45,0.55
3,汤加,Tonga,720,Not available,45.9,17.1,21.5,21.9,155,4058,"105,970",0.389447236,0.77,0.23,0.43,0.57,0.24,0.76,0.52,0.48,0.44,0.56
3,图瓦卢,Tuvalu,30,Not available,51,30.4,22.8,23.1,,3156,"10,140",,Not available,Not available,0.45,0.55,0.33,0.67,0.54,0.46,0.48,0.52
3,瓦努阿图,Vanuatu,"12,190",27.5,23.5,7.3,20,13.1,440,2964,"260,820",0.545905707,0.81,0.19,0.4,0.6,0.45,0.55,0.51,0.49,0.49,0.51
4,安提瓜和巴布达,Antigua and Barbuda,440,Not available,19.1,No data,24.2,11.8,212,13897,"93,758",0.496487119,Not available,Not available,0.31,0.69,No data,No data,0.55,0.45,0.42,0.58
4,巴哈马,Bahamas,"10,010",10.6,32.1,43,21.2,12.7,727,23445,"385,880",0.512693935,0.81,0.19,0.39,0.61,0.34,0.66,0.58,0.42,0.43,0.57
4,巴巴多斯,Barbados,430,4.9,24.8,44.4,27.9,14.1,947,15564,"287,390",0.455507456,0.91,0.09,0.32,0.68,0.35,0.65,0.52,0.48,0.42,0.58
4,伯利兹,Belize,"22,810",Not available,22.4,No data,18.3,9.9,514,5035,"351,560",0.500974659,Not available,Not available,0.34,0.66,No data,No data,0.55,0.45,0.38,0.62
4,加拿大,Canada,"9,093,510",11.9,31.3,29.8,17.2,7.2,63683,42105,"36,320,000",0.380106243,0.56,0.44,0.5,0.5,0.45,0.55,0.54,0.46,0.55,0.45
4,哥斯达黎加,Costa Rica,"51,060",Not available,25.7,46.2,18.2,8.5,7227,11480,"5,061,900",0.465447285,Not available,Not available,0.41,0.59,0.41,0.59,0.56,0.44,0.49,0.51
4,古巴,Cuba,"104,020",19.4,26.7,38.2,23,10.2,35062,,"11,480,000",0.519260104,0.65,0.35,0.38,0.62,0.42,0.58,0.52,0.48,0.42,0.58
4,多米尼克,Dominica,750,5.5,28.2,24.8,23.4,11.4,,6772,"10,661,000",,0.92,0.08,0.36,0.64,0.32,0.68,0.55,0.45,0.38,0.62
4,多米尼加,Dominica Rapubilic,"48,310",Not available,26.9,37.9,20.1,9.3,22897,7248,"72,297",0.610131102,0.64,0.36,0.38,0.62,0.44,0.56,0.56,0.44,0.42,0.58
4,萨尔瓦多,El Salvador,"20,720",6,22.7,No data,16.8,8.8,9790,4188,"6,377,900",0.491935079,0.89,0.11,0.38,0.62,No data,No data,0.53,0.47,0.44,0.56
4,格林纳达,Grenada,340,11.1,20.2,28.1,22.2,9.8,248,9534,"107,830",0.491089109,0.87,0.13,0.31,0.69,0.37,0.63,0.54,0.46,0.38,0.62
4,危地马拉,Guatemala,"107,160",3.6,18.8,35.5,17,7.5,13841,4086,"16,683,000",0.443366007,0.9,0.1,0.36,0.64,0.5,0.5,0.53,0.47,0.45,0.55
4,海地,Haiti,"27,560",Not available,20.5,No data,20.2,6.9,26617,760,"10,861,000",0.655946572,Not available,Not available,0.4,0.6,No data,No data,0.52,0.48,0.48,0.52
4,洪都拉斯,Honduras,"111,890",Not available,19.4,No data,17.3,7.2,9886,2447,"8,552,400",0.552043779,Not available,Not available,0.37,0.63,No data,No data,0.54,0.46,0.45,0.55
4,牙买加,Jamaica,"10,830",Not available,24.4,32.8,21.9,11.9,5866,4942,"2,788,000",0.459898079,Not available,Not available,0.31,0.69,0.43,0.57,0.55,0.45,0.39,0.61
4,墨西哥,Mexico,"1,943,950",11.8,28.4,28.4,18.5,10.4,159256,8038,"130,130,000",0.424199645,Not available,Not available,0.42,0.58,0.44,0.56,0.55,0.45,0.47,0.53
4,尼加拉瓜,Nicaragua,"120,340",Not available,21.8,No data,17.2,8.1,7174,2144,"6,257,200",0.513308529,Not available,Not available,0.38,0.62,No data,No data,0.53,0.47,0.44,0.56
4,巴拿马,Panama,"74,340",2.8,22.5,No data,19.3,9,5532,13693,"4,025,600",0.469649376,0.79,0.21,0.39,0.61,No data,No data,0.56,0.44,0.47,0.53
4,圣基茨和尼维斯,Saint Kitts-Nevis,260,6.1,23.1,36.3,26.2,14.9,,17248,"55,368",,0.94,0.06,0.34,0.66,0.39,0.61,0.54,0.46,0.43,0.57
4,圣卢西亚,Saint Lucia,610,Not available,19.8,39.7,27.6,14.6,442,7834,"183,680",0.502844141,Not available,Not available,0.31,0.69,0.34,0.66,0.54,0.46,0.47,0.53
4,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,390,6.9,23.8,No data,23,10.3,318,7097,"107,940",0.522167488,0.91,0.09,0.35,0.65,No data,No data,0.55,0.45,0.43,0.57
4,特立尼达和多巴哥,Trinidad and Tobago,"5,130",18,19.7,38.4,27.6,12.5,3945,17115,"1,332,700",0.48800099,0.79,0.21,0.29,0.71,0.36,0.64,0.52,0.48,0.44,0.56
4,美国,United States,"9,147,420",Not available,37.3,42.5,16.4,9.1,837250,56945,"326,090,000",0.466113844,Not available,Not available,0.49,0.51,0.4,0.6,0.55,0.45,0.54,0.46
5,阿根廷,Argentina,"2,736,690",17.1,28.5,42.3,24.2,10.2,91028,12425,"43,872,000",0.454360771,0.63,0.37,0.48,0.52,0.45,0.55,0.57,0.43,0.49,0.51
5,玻利维亚,Bolivia ,"1,083,300",Not available,18.7,No data,15.1,6.6,16707,3198,"10,893,000",0.541977551,Not available,Not available,0.36,0.64,No data,No data,0.55,0.45,0.42,0.58
5,巴西,Brazil,"8,358,140",12.7,22.3,46.9,23.1,8.1,369072,8515,"211,240,000",0.490100962,0.63,0.37,0.42,0.58,0.43,0.57,0.56,0.44,0.46,0.54
5,智利,Chile,"743,532",21.9,28.8,26.9,22.7,11.4,29698,13616,"18,142,000",0.424918802,0.54,0.46,0.44,0.56,0.45,0.55,0.58,0.42,0.47,0.53
5,哥伦比亚,Colombia,"1,109,500",Not available,22.1,43,18.2,8,83987,5792,"48,752,000",0.499239137,Not available,Not available,0.39,0.61,0.44,0.56,0.55,0.45,0.47,0.53
5,厄瓜多尔,Ecuador,"248,360",3.8,19.3,26.5,16.7,7.3,19848,5977,"16,398,000",0.444146079,0.9,0.1,0.37,0.63,0.45,0.55,0.55,0.45,0.46,0.54
5,圭亚那,Guyana,"196,850",Not available,19.2,No data,19.5,9.1,2258,4423,"781,450",0.637313012,0.91,0.09,0.32,0.68,No data,No data,0.53,0.47,0.4,0.6
5,巴拉圭,Paraguay,"397,300",10.9,19,36.5,21.6,6.9,10521,3899,"7,037,500",0.52911889,0.81,0.19,0.42,0.58,0.51,0.49,0.58,0.42,0.49,0.51
5,秘鲁,Peru,"1,280,000",Not available,19.1,No data,12.6,6.9,35815,6138,"31,793,000",0.446983501,Not available,Not available,0.38,0.62,No data,No data,0.59,0.41,0.46,0.54
5,苏里南,Suriname,"156,000",Not available,26.5,44,21.7,11.9,1326,7411,"558,200",0.575520833,Not available,Not available,0.36,0.64,0.42,0.58,0.54,0.46,0.44,0.56
5,乌拉圭,Uruguay,"175,020",20.4,28.9,23.8,24.4,11.1,9233,15924,"3,426,800",0.430382697,0.6,0.4,0.44,0.56,0.41,0.59,0.55,0.45,0.46,0.54
5,委内瑞拉,Venezuela,"882,050",13.1,25.2,30.4,17.4,8.8,54182,9104,"31,554,000",0.516525735,0.64,0.36,0.44,0.56,0.46,0.54,0.58,0.42,0.52,0.48
